,name,height,weight,age,position,feature_1,feature_2,feature_3,actual_salary,predicted_salary
179,Mike Williams,76.0,218.0,30.0,WR,249.0,0.22,9.0,10.0,9.2
185,Isaiah McKenzie,68.0,173.0,30.0,WR,82.0,0.07,4.0,1.38,1.14
186,Kendrick Bourne,73.0,203.0,29.0,WR,406.0,0.2,15.0,6.5,5.91
187,Trent Taylor,68.0,181.0,30.0,WR,0.0,0.04,0.0,1.12,0.78
188,Curtis Samuel,71.0,195.0,28.0,WR,613.0,0.16,26.0,8.0,4.24
189,Tyreek Hill,70.0,185.0,31.0,WR,1861.0,0.32,84.0,30.0,32.18
190,Tyler Boyd,74.0,203.0,30.0,WR,667.0,0.17,28.0,2.4,4.03
191,Laquon Treadwell,74.0,215.0,29.0,WR,16.0,0.12,1.0,1.21,0.58
192,Demarcus Robinson,73.0,203.0,30.0,WR,415.0,0.15,23.0,4.0,6.93
193,Robbie Chosen,75.0,190.0,31.0,WR,126.0,0.04,3.0,1.21,0.96
194,Alex Erickson,72.0,195.0,32.0,WR,232.0,0.1,12.0,0.38,1.13
195,Chris Moore,73.0,200.0,31.0,WR,424.0,0.08,16.0,2.0,2.52
196,Jamal Agnew,70.0,190.0,30.0,WR,225.0,0.1,8.0,0.38,1.18
197,Sterling Shepard,70.0,201.0,32.0,WR,57.0,0.07,4.0,1.38,0.91
198,Phillip Dorsett,70.0,192.0,32.0,WR,0.0,0.05,0.0,1.21,0.78
199,Chris Conley,75.0,205.0,32.0,WR,104.0,0.08,4.0,1.55,0.92
200,Jamison Crowder,69.0,177.0,31.0,WR,159.0,0.07,8.0,1.26,1.27
201,Damiere Byrd,69.0,180.0,32.0,WR,0.0,0.06,0.0,1.21,0.75
202,DeAndre Carter,68.0,190.0,32.0,WR,39.0,0.03,0.0,1.2,1.0
203,Stefon Diggs,72.0,191.0,31.0,WR,1256.0,0.29,63.0,22.52,25.11
204,Nelson Agholor,72.0,198.0,31.0,WR,432.0,0.1,21.0,3.75,4.59
205,Elijah Cooks,76.0,210.0,26.0,WR,38.0,0.05,2.0,0.22,1.14
206,Allen Robinson,74.0,220.0,31.0,WR,292.0,0.11,10.0,1.31,1.37
207,Mike Evans,77.0,231.0,31.0,WR,1450.0,0.25,61.0,20.5,28.22
209,Willie Snead,71.0,205.0,32.0,WR,14.0,0.05,0.0,1.21,0.81
210,Tyler Lockett,70.0,182.0,32.0,WR,894.0,0.22,47.0,15.0,14.78
211,David Moore,72.0,215.0,30.0,WR,171.0,0.04,6.0,1.29,2.04
213,Noah Brown,74.0,225.0,29.0,WR,567.0,0.16,24.0,4.0,5.23
214,JuJu Smith-Schuster,73.0,215.0,28.0,WR,260.0,0.13,13.0,1.21,2.27
215,Malik Taylor,74.0,216.0,29.0,WR,13.0,0.05,0.0,1.06,1.19
216,Jalen Guyton,73.0,212.0,27.0,WR,89.0,0.08,6.0,1.29,0.84
217,Lil'Jordan Humphrey,76.0,225.0,27.0,WR,162.0,0.06,9.0,1.12,2.7
218,Trenton Irwin,74.0,207.0,29.0,WR,316.0,0.1,15.0,1.5,2.73
219,Scott Miller,71.0,174.0,27.0,WR,161.0,0.06,6.0,1.29,1.9
221,Deonte Harty,66.0,170.0,27.0,WR,187.0,0.05,10.0,1.29,1.74
222,Olamide Zaccheaus,68.0,193.0,27.0,WR,169.0,0.06,7.0,1.29,1.96
223,Cody Thompson,74.0,205.0,29.0,WR,10.0,0.04,0.0,0.98,0.79
224,Mecole Hardman,70.0,187.0,27.0,WR,186.0,0.09,10.0,1.12,1.39
225,Keelan Doss,75.0,215.0,29.0,WR,33.0,0.16,1.0,1.06,4.07
226,D.J. Montgomery,73.0,201.0,28.0,WR,56.0,0.13,3.0,0.22,1.78
227,Steven Sims,70.0,176.0,28.0,WR,25.0,0.04,1.0,1.32,0.89
228,KhaDarel Hodge,74.0,205.0,30.0,WR,232.0,0.05,13.0,1.29,1.47
229,Calvin Ridley,73.0,190.0,30.0,WR,1016.0,0.22,49.0,23.0,22.43
230,Michael Gallup,73.0,200.0,29.0,WR,521.0,0.1,23.0,1.75,1.97
231,Brandon Powell,68.0,189.0,29.0,WR,324.0,0.09,18.0,2.0,1.29
232,Trent Sherfield,73.0,219.0,29.0,WR,93.0,0.07,5.0,1.79,0.91
233,Braxton Berrios,69.0,190.0,29.0,WR,238.0,0.07,15.0,2.15,2.0
234,Cedrick Wilson Jr.,,,,WR,333.0,0.11,16.0,2.88,1.63
235,Ray-Ray McCloud,69.0,190.0,28.0,WR,161.0,0.07,8.0,2.5,1.36
236,Courtland Sutton,76.0,216.0,29.0,WR,772.0,0.2,37.0,13.75,15.82
237,Keith Kirkwood,75.0,210.0,30.0,WR,37.0,0.04,3.0,1.12,0.92
238,Byron Pringle,73.0,205.0,31.0,WR,161.0,0.05,7.0,1.12,1.07
239,Equanimeous St. Brown,77.0,214.0,28.0,WR,62.0,0.05,3.0,1.12,1.49
240,Marquez Valdes-Scantling,76.0,207.0,30.0,WR,443.0,0.08,19.0,2.25,1.73
241,River Cracraft,72.0,200.0,30.0,WR,154.0,0.07,10.0,1.29,1.18
242,Josh Reynolds,75.0,196.0,30.0,WR,740.0,0.12,39.0,4.5,11.06
243,Zay Jones,74.0,200.0,30.0,WR,321.0,0.18,14.0,2.25,4.09
244,Andy Isabella,69.0,190.0,28.0,WR,0.0,0.03,0.0,1.13,0.76
245,Shedrick Jackson,74.0,202.0,25.0,WR,0.0,0.03,0.0,0.92,0.76
