season,player_display_name,games,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,receptions,targets,receiving_yards_after_catch,receiving_first_downs,receiving_epa,target_share,fantasy_points,salary_per_year,smoothed_salary_per_year,mean_adj_salary_per_year,med_adj_salary_per_year,year_signed
2002,Eddie George,18,373,1265.0,13,3.0,3.0,67.0,-37.14694200753686,37,50,0.0,11.0,7.991806061152602,0.08710801393728224,238.9,2.2,-0.4060094536421461,0.6890133172865768,0.70765148164529,2004.0
2002,Priest Holmes,14,313,1615.0,21,1.0,1.0,100.0,46.975129482994454,70,81,0.0,30.0,24.227833194976903,0.20351758793969849,370.7,6.8875,2.002959503806598,3.436743118415944,3.480807044541336,2003.0
2002,Edgerrin James,15,286,1003.0,2,2.0,1.0,56.0,-36.606518472742366,63,83,0.0,17.0,-15.85376110655711,0.15229357798165138,154.6,7.5,1.6657025332603077,3.795779812430182,10.72027343791174,2006.0
2002,Curtis Martin,18,292,1235.0,7,0.0,0.0,60.0,-7.704239991471796,54,62,0.0,20.0,10.83931046539579,0.11231884057971014,208.0,3.2025,0.0842391946921287,1.2766611307547773,3.751352635500712,2006.0
2002,Emmitt Smith,16,254,975.0,5,2.0,1.0,48.0,-34.0587227103749,16,24,0.0,4.0,-14.811377326550428,0.061696658097686374,134.4,3.75,0.2942909038256588,1.5975959715266876,0.7984953406856461,2003.0
2002,Shaun Alexander,16,295,1175.0,16,2.0,1.0,61.0,-16.29568880767526,59,78,0.0,19.0,5.101923511116929,0.13494809688581316,269.5,6.323,1.418831611764879,3.105843177565272,1.534835288221823,2005.0
2002,Rudi Johnson,4,17,67.0,0,0.0,0.0,6.0,1.6651304745464586,6,10,0.0,2.0,-2.1608247300609946,0.08333333333333333,10.1,1.824,-0.54587309620424,0.4686087508386531,0.3750552852720037,2004.0
2002,Travis Henry,16,325,1438.0,13,11.0,8.0,72.0,-32.43695965388842,43,59,0.0,13.0,5.188644829159232,0.10669077757685352,242.7,1.882,-0.7230136204020366,0.5026073275779603,-0.7984953406856459,2003.0
2002,LaDainian Tomlinson,16,372,1683.0,14,2.0,0.0,90.0,-1.242308672234807,79,101,0.0,20.0,-0.4042264557770683,0.19348659003831417,305.2,8.0,1.7514616284327045,4.088870991217314,5.838124723573641,2004.0
2002,Clinton Portis,16,273,1508.0,15,5.0,3.0,79.0,43.206118970667674,33,48,0.0,17.0,3.0834654691510996,0.1014799154334038,283.2,8.194167,1.823687436638433,4.202688261040437,6.0098779301194165,2004.0
2002,Adrian Peterson,4,19,101.0,1,0.0,0.0,4.0,2.563467978470726,3,4,0.0,1.0,-0.2406555896741338,0.035398230088495575,17.9,14.213333,6.348600588183935,7.731017177551294,94.68751798872997,2011.0
2003,Tiki Barber,16,278,1215.0,2,6.0,5.0,66.0,-36.56861477901611,69,69,0.0,26.0,18.725704535206788,0.2005813953488372,175.60000000000002,6.5,1.4950179939764727,3.2095974548559165,1.609689861011551,2005.0
2003,Jerome Bettis,16,246,811.0,7,4.0,4.0,43.0,-31.555709337124632,13,13,0.0,4.0,5.46842167142313,0.09090909090909091,125.7,3.611667,0.1190992929129155,1.5165076074563666,1.9563617868199916,2004.0
2003,Marshall Faulk,12,228,871.0,11,0.0,0.0,52.0,-16.51585604283148,54,54,0.0,15.0,11.56040178431819,0.19148936170212766,195.9,2.95,-0.0330139656345953,1.1286500854672756,0.1083693333079588,2005.0
2003,Eddie George,18,353,1167.0,5,0.0,0.0,56.0,-47.50029523975659,26,26,0.0,8.0,7.456190985512543,0.08695652173913043,164.60000000000002,2.2,-0.4060094536421461,0.6890133172865768,0.70765148164529,2004.0
2003,Priest Holmes,17,344,1596.0,29,2.0,2.0,97.0,43.83229498041824,79,79,0.0,38.0,34.33543538997762,0.22128851540616246,401.8,0.97,-0.737312149892737,-0.0319909825297692,0.1310813867787532,2006.0
2003,Edgerrin James,16,371,1538.0,14,6.0,4.0,105.0,2.799324773890537,59,59,0.0,11.0,9.672227193894754,0.16298342541436464,265.6,7.5,1.6657025332603077,3.795779812430182,10.72027343791174,2006.0
2003,Curtis Martin,16,323,1308.0,2,2.0,2.0,53.0,-28.981734480068514,42,42,0.0,9.0,-1.4611673334729858,0.15053763440860216,165.0,3.2025,0.0842391946921287,1.2766611307547773,3.751352635500712,2006.0
2003,Shaun Alexander,17,346,1480.0,17,4.0,3.0,83.0,-6.237734061858864,43,43,0.0,16.0,20.04032788661425,0.13312693498452013,285.6,6.323,1.418831611764879,3.105843177565272,1.534835288221823,2005.0
2003,Rudi Johnson,13,214,967.0,9,0.0,0.0,48.0,3.7894416531952446,21,21,0.0,8.0,6.296941934153438,0.09251101321585903,165.3,1.824,-0.54587309620424,0.4686087508386531,0.3750552852720037,2004.0
2003,Travis Henry,15,332,1353.0,10,8.0,4.0,76.0,-18.013459027493134,28,28,0.0,9.0,7.724378832818164,0.11715481171548117,207.1,2.437503,-0.2536088375232696,0.8282333857575374,-0.108369333307959,2005.0
2003,LaDainian Tomlinson,16,313,1645.0,13,2.0,0.0,81.0,22.691772883229802,100,100,0.0,26.0,20.877401171313437,0.3367003367003367,343.84000000000003,8.0,1.7514616284327045,4.088870991217314,5.838124723573641,2004.0
2003,Clinton Portis,14,307,1659.0,14,4.0,1.0,80.0,34.77223380940393,39,39,0.0,10.0,8.181372716382612,0.16595744680851063,282.3,8.194167,1.823687436638433,4.202688261040437,6.0098779301194165,2004.0
2003,Adrian Peterson,3,22,70.0,0,0.0,0.0,3.0,-2.7889447920024395,1,1,0.0,0.0,0.04148385743610561,0.05263157894736842,7.5,14.213333,6.348600588183935,7.731017177551294,94.68751798872997,2011.0
2004,Tiki Barber,16,322,1518.0,13,5.0,2.0,77.0,-1.2163518727413747,52,52,0.0,18.0,37.658464225478525,0.20233463035019456,295.6,6.5,1.4950179939764727,3.2095974548559165,1.609689861011551,2005.0
2004,Jerome Bettis,16,294,1106.0,15,3.0,2.0,57.0,-13.404747855028138,7,7,0.0,3.0,3.638979126524646,0.08235294117647059,207.70000000000002,3.4255,0.171656230645704,1.4073797964938384,0.3094617025820597,2005.0
2004,Marshall Faulk,16,215,859.0,4,1.0,1.0,49.0,-14.262823250469514,56,56,0.0,14.0,3.042479043302592,0.15730337078651685,153.20000000000002,2.95,-0.0330139656345953,1.1286500854672756,0.1083693333079588,2005.0
