,season,player_display_name,games,receptions,targets,receiving_yards,receiving_tds,receiving_yards_after_catch,receiving_first_downs,receiving_epa,target_share,fantasy_points,salary_per_year,smoothed_salary_per_year,mean_adj_salary_per_year,med_adj_salary_per_year,year_signed,predicted_smoothed_salary
199,2023,Collin Johnson,1,1,1,11.0,0,4.0,1.0,1.250328631605953,0.0333333333333333,1.1,1.055,0.0113986475307304,-0.0500046218465489,0.6265060240963854,2024.0,-0.21048754536822684
229,2023,Justyn Ross,5,6,11,53.0,0,15.0,2.0,1.1094381852308288,0.0601092896174863,5.300000000000001,0.301666,-0.5999246412370739,-0.3326004780726347,-1.1887566265060243,2024.0,-0.11101202617931757
217,2023,Tim Jones,9,11,18,83.0,0,31.0,4.0,-0.0878130930853311,0.0571428571428571,8.3,0.985,-0.045405678589883,-0.0762635056030579,0.4578313253012048,2024.0,-0.13117703173557682
243,2023,Ronnie Bell,8,6,13,68.0,3,10.0,5.0,6.735426280842981,0.056768558951965,24.8,0.225,-0.6621383621851161,-0.361359957816585,-1.3734939759036149,2024.0,0.38928945020852157
242,2023,A.T. Perry,8,12,18,246.0,4,20.0,10.0,19.071494034456784,0.0705882352941176,48.6,0.225,-0.6621383621851161,-0.361359957816585,-1.3734939759036149,2024.0,1.6165012857145513
240,2023,Jason Brownlee,4,5,8,56.0,1,20.0,2.0,-4.2100681482988875,0.0559440559440559,11.6,0.225,-0.6621383621851161,-0.361359957816585,-1.3734939759036149,2024.0,-0.141512925260348
239,2023,Tyquan Thornton,9,13,23,91.0,0,50.0,3.0,-13.23960586846806,0.0836363636363636,14.2,0.225,-0.6621383621851161,-0.361359957816585,-1.3734939759036149,2024.0,-0.13767560259701359
238,2023,Erik Ezukanma,2,0,1,0.0,0,0.0,0.0,-0.9126537921924408,0.0344827586206896,2.2,1.0425,0.0012550178663351,-0.0546937082316398,0.5963855421686747,2024.0,-0.21532750901681974
237,2023,Rashid Shaheed,15,46,75,719.0,5,151.0,27.0,12.090541416417992,0.1420454545454545,111.6,3.0925,1.6648102828271614,0.7143164589232687,5.5361445783132535,2024.0,5.738193113477794
234,2023,Deven Thompkins,14,18,27,87.0,1,82.0,5.0,-9.320969862977408,0.0671641791044776,19.3,0.985,-0.045405678589883,-0.0762635056030579,0.4578313253012048,2024.0,0.7699476181353156
233,2023,Brandon Johnson,10,19,30,284.0,4,89.0,12.0,20.30865455165671,0.1003344481605351,54.400000000000006,0.351666,-0.5593501225794927,-0.313844132532271,-1.068274698795181,2024.0,1.6146286085875605
231,2023,Kyle Philips,8,15,22,181.0,0,79.0,9.0,6.535338858000354,0.0973451327433628,18.1,0.225,-0.6621383621851161,-0.361359957816585,-1.3734939759036149,2024.0,0.2247256867973383
