,name,height,weight,age,position,feature_1,feature_2,feature_3,actual_salary,predicted_salary
47,Clyde Edwards-Helaire,68.0,209.0,26.0,RB,57.1,276.0,0.05,1.7,1.68
48,Joshua Kelley,71.0,219.0,27.0,RB,53.7,405.0,0.04,1.12,1.29
49,Cam Akers,71.0,212.0,25.0,RB,35.7,167.0,0.06,1.18,1.11
50,DeeJay Dallas,70.0,214.0,26.0,RB,6.2,36.0,0.04,2.75,0.81
51,Nick Chubb,71.0,225.0,29.0,RB,19.1,170.0,0.14,2.28,2.98
52,Chuba Hubbard,73.0,207.0,25.0,RB,143.5,902.0,0.09,8.3,3.24
53,Gary Brightwell,73.0,218.0,27.0,RB,6.6,19.0,0.08,1.06,0.95
54,Rhamondre Stevenson,72.0,246.0,27.0,RB,107.7,619.0,0.13,9.0,3.65
55,Michael Carter,70.0,190.0,26.0,RB,34.8,187.0,0.07,1.19,2.1
58,James Conner,73.0,233.0,29.0,RB,174.5,1040.0,0.09,9.5,5.24
59,Dare Ogunbowale,70.0,205.0,30.0,RB,7.3,42.0,0.05,1.5,0.75
60,Raheem Blackshear,69.0,194.0,26.0,RB,11.1,46.0,0.04,0.98,0.86
61,Ronnie Rivers,68.0,190.0,26.0,RB,19.5,138.0,0.04,0.98,1.03
62,Julius Chestnut,73.0,215.0,24.0,RB,5.3,12.0,0.04,0.98,0.93
63,Isaiah Spiller,73.0,215.0,23.0,RB,13.0,96.0,0.05,0.22,1.01
64,Raheem Mostert,70.0,197.0,33.0,RB,245.7,1045.0,0.07,4.13,7.04
65,Ameer Abdullah,69.0,203.0,31.0,RB,22.0,89.0,0.05,1.85,1.07
66,Ezekiel Elliott,72.0,228.0,29.0,RB,123.5,642.0,0.14,2.0,3.67
67,Aaron Jones,69.0,208.0,30.0,RB,149.6,882.0,0.12,7.0,5.06
69,Matt Breida,70.0,190.0,30.0,RB,29.9,151.0,0.06,1.21,0.95
70,Samaje Perine,71.0,240.0,29.0,RB,71.3,238.0,0.12,1.5,3.05
71,Dalvin Cook,70.0,210.0,29.0,RB,27.5,237.0,0.05,0.48,1.13
72,Joe Mixon,73.0,220.0,28.0,RB,215.0,1034.0,0.11,9.88,5.98
73,Kareem Hunt,71.0,216.0,29.0,RB,119.0,437.0,0.06,1.21,1.94
74,D'Onta Foreman,73.0,233.0,29.0,RB,80.2,425.0,0.09,1.29,1.47
75,Jeff Wilson,,,,RB,27.9,188.0,0.07,1.75,1.03
76,Gus Edwards,73.0,238.0,30.0,RB,182.5,870.0,0.06,3.25,4.33
77,Mike Boone,70.0,205.0,29.0,RB,6.3,23.0,0.06,1.12,0.87
78,Boston Scott,66.0,203.0,30.0,RB,13.8,86.0,0.03,1.23,0.94
79,Chase Edmonds,69.0,210.0,29.0,RB,31.4,207.0,0.06,1.5,1.07
80,Rashaad Penny,71.0,220.0,29.0,RB,3.8,33.0,0.05,1.29,0.8
81,Royce Freeman,72.0,238.0,29.0,RB,45.2,319.0,0.04,1.29,1.1
82,Saquon Barkley,71.0,233.0,28.0,RB,182.2,962.0,0.15,12.58,5.06
83,Alexander Mattison,71.0,220.0,26.0,RB,103.2,700.0,0.08,2.0,1.72
84,Justice Hill,70.0,200.0,27.0,RB,92.7,456.0,0.11,3.0,2.53
85,Devin Singletary,67.0,203.0,27.0,RB,157.34,986.0,0.08,5.5,3.46
86,Tony Pollard,72.0,209.0,27.0,RB,182.1,1061.0,0.12,7.25,4.99
87,Trayveon Williams,68.0,206.0,27.0,RB,7.9,69.0,0.04,1.29,0.87
88,Ty Johnson,70.0,210.0,27.0,RB,33.4,198.0,0.05,1.29,1.08
89,Craig Reynolds,71.0,215.0,28.0,RB,32.7,180.0,0.03,1.12,1.05
90,D'Ernest Johnson,70.0,208.0,29.0,RB,24.8,108.0,0.04,1.27,1.14
91,David Montgomery,70.0,222.0,27.0,RB,226.0,1198.0,0.07,9.12,6.99
92,Josh Jacobs,70.0,220.0,27.0,RB,144.1,805.0,0.14,12.0,4.84
93,James Robinson,75.0,200.0,,RB,0.0,2.0,0.03,1.06,0.82
